ENTITY ID | FRIENDLY NAME
sensor.button_battery_sensor | Button Battery Sensor
sensor.water_leak_sensor_battery_sensor | Water Leak Sensor Battery Sensor
binary_sensor.contact_sensor | Contact Sensor
binary_sensor.water_leak_sensor | Water Leak Sensor
switch.aqara_hub_e1_ec77_pairing_mode | Aqara-Hub-E1-EC77 Pairing Mode
event.button | Button
scene.rollladen | Rollladen
device_tracker.drivedot_4853_5af4 | Unknown
sensor.drivedot_4853_5af4_signalstarke | Signalstärke
sensor.drivedot_4853_5af4_leistung | Leistung
sensor.drivedot_4853_5af4_geschatzte_entfernung | Geschätzte Entfernung
sensor.drivedot_4853_5af4_hersteller | Hersteller
device_tracker.drivedot_8832_408a | Unknown
sensor.drivedot_8832_408a_signalstarke | Signalstärke
sensor.drivedot_8832_408a_leistung | Leistung
sensor.drivedot_8832_408a_geschatzte_entfernung | Geschätzte Entfernung
sensor.drivedot_8832_408a_hersteller | Hersteller
sensor.openweathermap_weather | Wetter
sensor.openweathermap_dew_point | Taupunkt-Temperatur
sensor.openweathermap_temperature | Temperatur
sensor.openweathermap_feels_like_temperature | Gefühlte Temperatur
sensor.openweathermap_wind_speed | Windgeschwindigkeit
sensor.openweathermap_wind_bearing | Windrichtung
sensor.openweathermap_humidity | Luftfeuchtigkeit
sensor.openweathermap_pressure | Druck
sensor.openweathermap_cloud_coverage | Bewölkung
sensor.openweathermap_rain | Regenintensität
sensor.openweathermap_snow | Schneeintensität
sensor.openweathermap_precipitation_kind | Niederschlagsart
sensor.openweathermap_uv_index | UV-Index
sensor.openweathermap_visibility | Sichtweite
sensor.openweathermap_condition | Bedingung
sensor.openweathermap_weather_code | Wetter-Code
weather.openweathermap | Unknown
device_tracker.drivedot_4622_2bf8 | Unknown
sensor.drivedot_4622_2bf8_signalstarke | Signalstärke
sensor.drivedot_4622_2bf8_leistung | Leistung
sensor.drivedot_4622_2bf8_geschatzte_entfernung | Geschätzte Entfernung
sensor.drivedot_4622_2bf8_hersteller | Hersteller
automation.schlafzimmer_nachtluftung_werktag_schliessen_wochenende_10_uhr_offnen | Schlafzimmer – Nachtlüftung, Werktag-Schließen, Wochenende 10 Uhr öffnen
automation.neue_automation | Neue Automation
device_tracker.drivedot_2156_70fa | Unknown
